[2025-06-03 14:18:02] Пересчёт остатков | {"item_id":81,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":81,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":81,"warehouse_id":1,"quantity":2,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":81,"warehouse_id":7,"quantity":-2,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":81,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":121,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":121,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":121,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":121,"warehouse_id":1,"quantity":1,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":121,"warehouse_id":7,"quantity":-1,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":121,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":10,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":10,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":10,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":10,"warehouse_id":1,"quantity":3,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":10,"warehouse_id":7,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":10,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":122,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":122,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":122,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":122,"warehouse_id":1,"quantity":1,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":122,"warehouse_id":7,"quantity":-1,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":122,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":2,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":2,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":2,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":2,"warehouse_id":1,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":2,"warehouse_id":7,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":2,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":1,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":1,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":1,"warehouse_id":6,"quantity":0,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":1,"warehouse_id":1,"quantity":5,"volume":0}
[2025-06-03 14:18:03] Пересчёт остатков | {"item_id":1,"warehouse_id":7,"quantity":-4,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":1,"warehouse_id":5,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":143,"warehouse_id":3,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":143,"warehouse_id":2,"quantity":0,"volume":0}
[2025-06-03 14:18:04] Пересчёт остатков | {"item_id":143,"warehouse_id":6,"quantity":0,"volume":0}
